001,00083,4.663726,4.70887,93.94
002,00077,3.884258,3.69878,83.05
003,00077,3.522266,4.00553,85.88
004,00077,3.270257,3.38879,77.49
005,00078,3.094565,3.25886,74.74
006,00077,2.962800,3.12240,71.87
007,00077,2.861968,3.18248,71.76
008,00077,2.783242,4.12304,79.82
009,00077,2.719573,3.61752,76.24
010,00077,2.668836,3.01014,69.21
011,00077,2.624000,3.15886,70.60
012,00077,2.588419,3.19951,72.60
013,00077,2.553048,2.99601,67.60
014,00077,2.526432,2.89300,67.02
015,00078,2.497762,3.32238,71.62
016,00077,2.480800,2.72946,64.74
017,00077,2.455081,3.04338,66.79
018,00077,2.440871,2.84907,66.56
019,00077,2.420814,3.12054,69.69
020,00077,2.401521,2.77811,64.65
021,00077,2.389325,4.55578,81.29
022,00077,2.379048,2.90930,66.78
023,00078,2.364707,2.88059,65.68
024,00077,2.344634,2.88368,65.70
025,00079,2.336039,2.54915,61.47
026,00079,2.327092,3.20653,69.95
027,00077,2.314548,2.86216,64.50
028,00077,2.300397,2.55662,61.03
029,00077,2.282824,2.72524,62.47
030,00079,2.270578,2.53082,60.27
031,00077,2.264724,3.04407,67.41
032,00078,2.253229,2.68097,62.29
033,00077,2.237500,2.80629,64.41
034,00077,2.225687,2.85733,65.46
035,00077,2.214149,2.71544,63.38
036,00077,2.204845,2.56043,61.53
037,00077,2.186567,2.54763,59.71
038,00077,2.174427,2.58494,60.86
039,00077,2.159962,2.57464,60.64
040,00077,2.146950,2.37143,56.51
041,00077,2.132167,2.80886,63.94
042,00077,2.117370,2.43659,57.60
043,00077,2.107424,2.38149,56.37
044,00077,2.091555,2.37558,56.70
045,00077,2.078477,2.37661,57.24
046,00078,2.060663,2.51478,57.99
047,00078,2.051379,2.35170,55.97
048,00077,2.031709,2.58235,59.16
049,00077,2.017045,2.17261,53.46
050,00077,2.000205,2.30290,54.38
051,00078,1.978424,2.27646,54.86
052,00077,1.974686,2.35163,56.01
053,00078,1.950809,2.24973,53.64
054,00077,1.932199,2.19806,53.40
055,00077,1.916167,2.22061,53.15
056,00077,1.894263,2.15485,52.17
057,00077,1.877150,2.31888,54.24
058,00077,1.860378,2.17783,51.93
059,00077,1.840844,2.25598,53.77
060,00077,1.819009,2.13469,51.77
061,00077,1.798849,2.34602,54.34
062,00077,1.780265,2.10599,51.33
063,00077,1.757249,2.31801,54.45
064,00078,1.741673,2.11447,50.96
065,00078,1.715545,2.06243,49.88
066,00078,1.696922,2.03718,49.17
067,00077,1.670931,1.93872,46.84
068,00077,1.648756,1.97684,48.02
069,00077,1.628177,1.89117,46.09
070,00077,1.595197,2.00512,47.98
071,00078,1.573833,1.89896,46.32
072,00077,1.546426,1.89877,45.65
073,00077,1.521383,1.92414,46.81
074,00077,1.495389,1.85101,44.96
075,00077,1.464778,1.85431,45.14
076,00078,1.434882,1.80301,44.00
077,00077,1.403975,1.80045,43.24
078,00077,1.374303,1.72233,41.76
079,00077,1.345438,1.73323,42.38
080,00077,1.310199,1.68823,41.19
081,00077,1.278773,1.70836,41.43
082,00077,1.242847,1.64925,40.14
083,00077,1.205862,1.62826,39.91
084,00077,1.172691,1.64368,39.91
085,00077,1.137707,1.60447,39.25
086,00077,1.100206,1.59343,38.54
087,00077,1.060455,1.59238,38.62
088,00077,1.027417,1.55289,37.31
089,00077,0.990701,1.55152,37.91
090,00078,0.957860,1.53986,37.29
091,00077,0.922814,1.53943,37.58
092,00077,0.894052,1.54684,37.39
093,00078,0.863485,1.51300,36.63
094,00078,0.838028,1.51122,36.42
095,00077,0.817988,1.51071,36.40
096,00077,0.795221,1.49954,36.47
097,00078,0.780606,1.50066,36.18
098,00078,0.774403,1.50160,36.28
099,00077,0.766216,1.49978,36.18
100,00078,0.764314,1.49820,36.20
